Zip_3_Key,Sum_2017 Total Population,Zip_5_Key,2017 Total Population,2017 Total Expenditure:Healthcare:Drugs Nonprescription drugs,2017 Total Expenditure:Healthcare:Drugs Nonprescription vitamins,Population Distribution,
15,383115,1536,6908,252752,182872,1.80%,
15,383115,1537,1912,73635,51335,0.50%,
15,383115,1540,11690,371799,254667,3.05%,
15,383115,1541,3501,131436,105527,0.91%,
15,383115,1542,2132,69176,50087,0.56%,
15,383115,1543,8409,255217,182452,2.19%,
15,383115,1545,36064,1196030,839186,9.41%,
15,383115,1550,16907,481244,316124,4.41%,
15,383115,1560,4713,140825,91383,1.23%,
15,383115,1562,11718,396045,278568,3.06%,
15,383115,1564,7882,267647,209348,2.06%,
15,383115,1566,6378,222507,164475,1.66%,
15,383115,1568,7598,245023,186610,1.98%,
15,383115,1569,13585,447872,325102,3.55%,
15,383115,1570,17000,525058,351883,4.44%,
15,383115,1571,11517,337111,244279,3.01%,
15,383115,1581,19243,629891,457113,5.02%,
15,383115,1583,8027,256831,185673,2.10%,
15,383115,1585,6183,212169,152407,1.61%,
15,383115,1588,10387,322621,226863,2.71%,
15,383115,1590,9112,312350,246064,2.38%,
16,193319,1602,23313,734257,504114,12.06%,
16,193319,1603,20557,501515,294711,10.63%,
16,193319,1604,35436,1010074,636768,18.33%,
16,193319,1605,25972,640831,389332,13.43%,
16,193319,1606,21336,670708,436043,11.04%,
16,193319,1607,8898,241224,150669,4.60%,
16,193319,1608,3879,66056,32101,2.01%,
16,193319,1609,22369,461463,291717,11.57%,
16,193319,1610,24467,360365,201787,12.66%,
16,193319,1611,2204,71029,49516,1.14%,
16,193319,1612,4888,152879,118827,2.53%,
17,396517,1701,32463,1133661,843559,8.19%,
17,396517,1702,38523,969184,615571,9.72%,
17,396517,1718,469,16464,11073,0.12%,
17,396517,1719,5238,173418,128611,1.32%,
17,396517,1720,22732,738012,537797,5.73%,
17,396517,1721,17173,565420,414743,4.33%,
17,396517,1730,13510,487858,364770,3.41%,
17,396517,1731,1616,24573,14480,0.41%,
17,396517,1740,5341,175942,140168,1.35%,
17,396517,1741,5037,177377,148598,1.27%,
17,396517,1742,18035,658180,515794,4.55%,
17,396517,1745,234,10175,7361,0.06%,
17,396517,1746,14262,475110,370319,3.60%,
17,396517,1747,5951,196156,143873,1.50%,
17,396517,1748,16636,483174,370059,4.20%,
17,396517,1749,19676,649597,469282,4.96%,
17,396517,1752,41255,1305417,876384,10.40%,
17,396517,1754,10617,376091,269874,2.68%,
17,396517,1756,5859,186825,144576,1.48%,
17,396517,1757,28574,899930,632496,7.21%,
17,396517,1760,34770,1246904,892605,8.77%,
17,396517,1770,4205,144100,116592,1.06%,
17,396517,1772,9943,312922,237281,2.51%,
17,396517,1773,5421,226567,187641,1.37%,
17,396517,1775,6993,239729,191658,1.76%,
17,396517,1776,18324,557558,444009,4.62%,
17,396517,1778,13660,487285,383964,3.44%,
18,746205,1801,39764,1339206,924491,5.33%,
18,746205,1803,25508,865836,634829,3.42%,
18,746205,1810,34556,1107297,829179,4.63%,
18,746205,1821,31614,993265,730594,4.24%,
18,746205,1824,25682,889324,666431,3.44%,
18,746205,1826,30919,952198,678869,4.14%,
18,746205,1827,3374,100798,81083,0.45%,
18,746205,1830,26393,793219,535013,3.54%,
18,746205,1832,22868,662489,443721,3.06%,
18,746205,1833,8427,272266,204147,1.13%,
18,746205,1834,6651,223623,166554,0.89%,
18,746205,1835,14062,456028,320662,1.88%,
18,746205,1840,5513,120435,57702,0.74%,
18,746205,1841,49002,753242,439027,6.57%,
18,746205,1843,25464,557627,342796,3.41%,
18,746205,1844,49223,1452578,995159,6.60%,
18,746205,1845,29566,941883,682840,3.96%,
18,746205,1850,15708,349273,214521,2.11%,
18,746205,1851,31916,657215,404123,4.28%,
18,746205,1852,35234,930778,581989,4.72%,
18,746205,1854,28997,600904,366069,3.89%,
18,746205,1860,6503,220516,162345,0.87%,
18,746205,1862,10586,298916,216378,1.42%,
18,746205,1863,9212,337312,236304,1.23%,
18,746205,1864,15463,498159,370552,2.07%,
18,746205,1867,25330,855319,623696,3.39%,
18,746205,1876,31195,1004860,745017,4.18%,
18,746205,1879,12009,358416,261636,1.61%,
18,746205,1880,26511,935938,677161,3.55%,
18,746205,1886,23302,710255,547462,3.12%,
18,746205,1887,23323,693357,517447,3.13%,
18,746205,1890,22330,730580,555450,2.99%,
19,492352,1901,2345,72922,36104,0.48%,
19,492352,1902,46429,1026644,626941,9.43%,
19,492352,1904,18435,605355,431874,3.74%,
19,492352,1905,26569,585889,361441,5.40%,
19,492352,1906,27231,931564,668849,5.53%,
19,492352,1907,14178,529606,401193,2.88%,
19,492352,1908,3484,153511,118690,0.71%,
19,492352,1913,16999,569054,401750,3.45%,
19,492352,1915,40763,1355115,938408,8.28%,
19,492352,1921,8159,273272,225079,1.66%,
19,492352,1922,3217,106008,84357,0.65%,
19,492352,1923,27959,976656,697326,5.68%,
19,492352,1929,3627,134693,98648,0.74%,
19,492352,1930,29835,1111045,799507,6.06%,
19,492352,1938,13679,521681,393271,2.78%,
19,492352,1940,12286,419944,317510,2.50%,
19,492352,1944,5249,211956,162575,1.07%,
19,492352,1945,20112,785671,599815,4.08%,
19,492352,1949,8741,231029,172585,1.78%,
19,492352,1950,17893,693480,510225,3.63%,
19,492352,1951,3726,146610,110421,0.76%,
19,492352,1952,8531,297039,209674,1.73%,
19,492352,1960,52123,1827678,1266829,10.59%,
19,492352,1966,7083,303976,223663,1.44%,
19,492352,1969,6145,201062,150304,1.25%,
19,492352,1970,42784,1389342,914801,8.69%,
19,492352,1982,8118,252581,190335,1.65%,
19,492352,1983,6858,245672,190156,1.39%,
19,492352,1984,5269,136250,103116,1.07%,
19,492352,1985,4525,152608,121268,0.92%,
20,414588,2019,16911,519744,362967,4.08%,
20,414588,2021,22875,774671,540662,5.52%,
20,414588,2025,7809,259996,195612,1.88%,
20,414588,2026,25377,846630,591451,6.12%,
20,414588,2030,5928,187028,151396,1.43%,
20,414588,2032,4678,143570,102449,1.13%,
20,414588,2035,17659,580623,414012,4.26%,
20,414588,2038,32956,921172,652629,7.95%,
20,414588,2043,22953,838339,625150,5.54%,
20,414588,2045,10409,414508,299201,2.51%,
20,414588,2048,23569,737257,523374,5.68%,
20,414588,2050,26438,916968,677033,6.38%,
20,414588,2052,12348,379698,288578,2.98%,
20,414588,2053,13129,381996,275312,3.17%,
20,414588,2054,8072,260913,186389,1.95%,
20,414588,2056,11865,294755,225445,2.86%,
20,414588,2061,10570,338947,263895,2.55%,
20,414588,2062,29212,987750,666342,7.05%,
20,414588,2066,18269,644364,482970,4.41%,
20,414588,2067,18155,573256,430943,4.38%,
20,414588,2071,919,26819,19769,0.22%,
20,414588,2072,28608,872221,605199,6.90%,
20,414588,2081,19431,627781,459644,4.69%,
20,414588,2090,15130,496770,363994,3.65%,
20,414588,2093,11318,325890,241928,2.73%,
21,1377576,2108,4623,237826,163688,0.34%,
21,1377576,2109,4222,240022,156781,0.31%,
21,1377576,2110,1904,130126,101798,0.14%,
21,1377576,2111,8918,290313,182856,0.65%,
21,1377576,2113,7348,397728,222972,0.53%,
21,1377576,2114,13510,717172,428237,0.98%,
21,1377576,2115,30289,759548,416363,2.20%,
21,1377576,2116,21761,1127238,732313,1.58%,
21,1377576,2118,29934,1019478,636573,2.17%,
21,1377576,2119,27137,696004,429514,1.97%,
21,1377576,2120,19279,362505,196841,1.40%,
21,1377576,2121,28412,629778,378836,2.06%,
21,1377576,2122,24825,665698,423065,1.80%,
21,1377576,2124,51889,1342099,891967,3.77%,
21,1377576,2125,35559,872242,564688,2.58%,
21,1377576,2126,22760,651351,442645,1.65%,
21,1377576,2127,36731,1478260,908183,2.67%,
21,1377576,2128,44427,1090980,710152,3.23%,
21,1377576,2129,18129,813112,543781,1.32%,
21,1377576,2130,37969,1373524,933398,2.76%,
21,1377576,2131,32231,1029648,739086,2.34%,
21,1377576,2132,27777,1120339,864933,2.02%,
21,1377576,2134,24118,637930,341810,1.75%,
21,1377576,2135,46022,1668604,969671,3.34%,
21,1377576,2136,35613,1020141,712865,2.59%,
21,1377576,2138,37750,1199024,766349,2.74%,
21,1377576,2139,38338,1168430,695188,2.78%,
21,1377576,2140,19566,753659,465420,1.42%,
21,1377576,2141,12760,464840,271495,0.93%,
21,1377576,2142,3415,124592,71881,0.25%,
21,1377576,2143,26452,937918,539392,1.92%,
21,1377576,2144,24549,894633,509770,1.78%,
21,1377576,2145,27369,748083,455687,1.99%,
21,1377576,2148,62321,1741540,1089224,4.52%,
21,1377576,2149,43556,1121335,710162,3.16%,
21,1377576,2150,40379,882176,579188,2.93%,
21,1377576,2151,56206,1750278,1228640,4.08%,
21,1377576,2152,18645,783981,594614,1.35%,
21,1377576,2153,1312,26,6,0.10%,
21,1377576,2155,59121,1901909,1246323,4.29%,
21,1377576,2163,2970,41742,25261,0.22%,
21,1377576,2169,57675,1872560,1173741,4.19%,
21,1377576,2170,19508,598040,392686,1.42%,
21,1377576,2171,18687,640145,425487,1.36%,
21,1377576,2176,28301,1010854,720893,2.05%,
21,1377576,2180,22133,804203,582332,1.61%,
21,1377576,2184,36726,1179683,813313,2.67%,
21,1377576,2186,27666,846338,616703,2.01%,
21,1377576,2188,15714,533541,352628,1.14%,
21,1377576,2189,15129,455809,294969,1.10%,
21,1377576,2190,16386,541742,371977,1.19%,
21,1377576,2191,8402,295560,203212,0.61%,
21,1377576,2199,1153,72535,48157,0.08%,
22,29271,2210,3714,194402,120605,12.69%,
22,29271,2215,25557,483470,239116,87.31%,
23,455323,2301,62709,1462939,906234,13.77%,
23,455323,2302,33581,833634,549459,7.38%,
23,455323,2322,4459,137825,99309,0.98%,
23,455323,2324,27965,731353,522807,6.14%,
23,455323,2325,2,140,86,0.00%,
23,455323,2330,11759,377638,267594,2.58%,
23,455323,2332,15825,568978,441861,3.48%,
23,455323,2333,14334,434914,310001,3.15%,
23,455323,2338,7769,262838,187755,1.71%,
23,455323,2339,14215,445098,333842,3.12%,
23,455323,2341,10595,318932,235275,2.33%,
23,455323,2343,11123,335713,227101,2.44%,
23,455323,2346,23616,740615,530966,5.19%,
23,455323,2347,11056,355241,265192,2.43%,
23,455323,2351,16432,536423,366060,3.61%,
23,455323,2356,15397,453733,348008,3.38%,
23,455323,2359,18315,581854,425293,4.02%,
23,455323,2360,58585,1906531,1369805,12.87%,
23,455323,2364,12930,414622,290589,2.84%,
23,455323,2367,3014,105843,81068,0.66%,
23,455323,2368,33435,935836,616789,7.34%,
23,455323,2370,17805,552846,377766,3.91%,
23,455323,2375,8700,302504,222220,1.91%,
23,455323,2379,6760,222734,160068,1.48%,
23,455323,2382,14942,447488,310305,3.28%,
24,427244,2420,14377,504030,393051,3.37%,
24,427244,2421,18495,653822,494720,4.33%,
24,427244,2445,21320,751796,486902,4.99%,
24,427244,2446,31413,1132076,661881,7.35%,
24,427244,2451,16818,597973,418891,3.94%,
24,427244,2452,15505,457108,307122,3.63%,
24,427244,2453,30778,877783,557081,7.20%,
24,427244,2458,13125,458953,317951,3.07%,
24,427244,2459,20246,695657,534028,4.74%,
24,427244,2460,8547,324323,235553,2.00%,
24,427244,2461,6993,246933,186259,1.64%,
24,427244,2462,2072,87851,63660,0.48%,
24,427244,2464,3531,128466,87600,0.83%,
24,427244,2465,11979,408578,300453,2.80%,
24,427244,2466,8140,258038,184746,1.91%,
24,427244,2467,23688,621604,454373,5.54%,
24,427244,2468,5241,188682,152407,1.23%,
24,427244,2472,34192,1344436,898951,8.00%,
24,427244,2474,28047,1053369,732709,6.56%,
24,427244,2476,16539,630540,459263,3.87%,
24,427244,2478,25647,884519,649672,6.00%,
24,427244,2481,16687,470951,359563,3.91%,
24,427244,2482,12229,352789,264069,2.86%,
24,427244,2492,20144,641791,485590,4.71%,
24,427244,2493,11875,385729,304066,2.78%,
24,427244,2494,9616,326141,235823,2.25%,
25,118556,2532,14421,481376,337828,12.16%,
25,118556,2535,1208,49600,34302,1.02%,
25,118556,2536,19079,702670,505566,16.09%,
25,118556,2537,6192,207719,161983,5.22%,
25,118556,2538,5223,171814,110016,4.41%,
25,118556,2539,4345,181245,127653,3.66%,
25,118556,2540,8351,374126,261498,7.04%,
25,118556,2542,603,9787,4315,0.51%,
25,118556,2543,643,39423,27834,0.54%,
25,118556,2554,11154,387188,269128,9.41%,
25,118556,2556,3149,139615,106431,2.66%,
25,118556,2557,202,13607,9473,0.17%,
25,118556,2559,4284,183837,134670,3.61%,
25,118556,2562,3000,110303,81457,2.53%,
25,118556,2563,10244,353191,260175,8.64%,
25,118556,2568,11581,431262,296736,9.77%,
25,118556,2571,11161,367627,250420,9.41%,
25,118556,2575,18,688,505,0.02%,
25,118556,2576,3698,129866,92001,3.12%,
26,147518,2601,14227,435625,278059,9.64%,
26,147518,2630,1594,69945,53782,1.08%,
26,147518,2631,10109,414578,305624,6.85%,
26,147518,2632,10295,403321,289799,6.98%,
26,147518,2633,4306,214888,161164,2.92%,
26,147518,2635,3455,148078,114951,2.34%,
26,147518,2637,157,8454,6507,0.11%,
26,147518,2638,3245,149849,111889,2.20%,
26,147518,2639,3009,121357,81226,2.04%,
26,147518,2642,4976,224038,164351,3.37%,
26,147518,2644,3896,115287,83790,2.64%,
26,147518,2645,9575,366443,271478,6.49%,
26,147518,2646,1845,87576,63317,1.25%,
26,147518,2648,7531,257435,191311,5.11%,
26,147518,2649,14091,542825,381303,9.55%,
26,147518,2650,612,29665,23610,0.41%,
26,147518,2652,1507,65386,46552,1.02%,
26,147518,2653,5813,278098,206763,3.94%,
26,147518,2655,3282,144943,104847,2.22%,
26,147518,2657,2901,128428,88675,1.97%,
26,147518,2659,1148,50700,37091,0.78%,
26,147518,2660,6606,276377,195030,4.48%,
26,147518,2664,9129,358135,242186,6.19%,
26,147518,2666,1234,55148,42030,0.84%,
26,147518,2667,2812,136185,99041,1.91%,
26,147518,2668,3559,138499,106324,2.41%,
26,147518,2670,1327,64740,43407,0.90%,
26,147518,2671,984,46629,31974,0.67%,
26,147518,2673,7964,286880,192591,5.40%,
26,147518,2675,6329,291982,220347,4.29%,
27,537355,2702,4283,145926,113837,0.80%,
27,537355,2703,44246,1400334,970752,8.23%,
27,537355,2713,79,2900,2175,0.01%,
27,537355,2715,3246,99839,73746,0.60%,
27,537355,2717,4763,161184,121386,0.89%,
27,537355,2718,6961,214149,156178,1.30%,
27,537355,2719,16092,575149,393306,2.99%,
27,537355,2720,30908,937280,610663,5.75%,
27,537355,2721,26224,668984,406720,4.88%,
27,537355,2723,14910,384977,232763,2.77%,
27,537355,2724,17461,489815,287115,3.25%,
27,537355,2725,2694,89851,63238,0.50%,
27,537355,2726,15776,576124,419166,2.94%,
27,537355,2738,5114,195724,149042,0.95%,
27,537355,2739,6160,244022,185137,1.15%,
27,537355,2740,44119,1165173,723007,8.21%,
27,537355,2743,10484,352801,256931,1.95%,
27,537355,2744,12101,286999,170013,2.25%,
27,537355,2745,24944,770329,510034,4.64%,
27,537355,2746,15875,311131,183379,2.95%,
27,537355,2747,23419,597472,439055,4.36%,
27,537355,2748,11353,437148,326644,2.11%,
27,537355,2760,26959,864702,622358,5.02%,
27,537355,2762,8752,286154,194099,1.63%,
27,537355,2763,2152,66156,48325,0.40%,
27,537355,2764,4136,133309,97169,0.77%,
27,537355,2766,19483,591802,438105,3.63%,
27,537355,2767,14060,476107,356390,2.62%,
